,0,1,2,5,6,7,8,Body_type,Body_type_id,Skin_condition_level
0,1,1,30,20,18,14,22,rectangle,7,2
1,2,1,28,17,18,21,25,round,5,2
2,3,2,27,16,14,10,15,rectangle,7,1
3,4,1,29,18,11,19,14,invertedtriangle,6,3
4,5,2,28,18,13,11,30,invertedtriangle,6,3
5,6,2,22,18,14,16,18,rectangle,7,1
6,7,2,18,16,17,12,28,triangle,4,3
7,8,2,26,19,17,23,27,round,5,3
8,9,1,23,20,18,22,18,rectangle,7,2
9,10,1,31,28,18,91,17,invertedtriangle,6,3
10,11,1,29,17,15,21,30,invertedtriangle,6,3
11,12,1,35,18,12,18,27,bottomhourglass,2,2
12,13,2,29,17,17,20,21,round,5,1
13,14,1,30,18,18,24,28,round,5,2
14,15,2,20,17,16,18,19,rectangle,7,2
15,16,2,27,20,11,20,18,rectangle,7,1
16,17,2,24,16,9,25,22,round,5,3
17,18,1,30,21,12,19,21,rectangle,7,3
18,19,1,35,28,18,17,23,tophourglass,3,2
19,20,1,29,18,15,18,24,round,5,1
20,21,1,35,18,15,19,19,rectangle,7,2
21,22,2,29,16,17,20,20,round,5,2
22,23,2,27,16,18,22,30,round,5,2
23,24,1,26,17,14,24,19,rectangle,7,3
24,25,2,24,17,15,16,20,rectangle,7,2
25,26,1,20,18,17,15,21,rectangle,7,2
26,27,1,30,17,19,18,23,round,5,2
27,28,1,35,18,10,17,24,round,5,2
28,29,1,31,20,14,22,21,rectangle,7,2
29,30,1,20,20,18,19,30,rectangle,7,3
30,31,1,24,18,17,18,35,rectangle,7,3
31,32,2,27,16,12,18,30,rectangle,7,1
32,33,1,29,20,14,18,21,rectangle,7,3
33,34,1,27,16,15,19,21,round,5,1
34,35,2,18,16,15,20,21,round,5,3
35,36,2,19,18,17,13,20,rectangle,7,2
36,37,2,20,18,18,11,23,triangle,4,3
37,38,2,24,19,18,11,24,triangle,4,1
38,39,1,22,16,19,12,28,triangle,4,1
39,40,1,24,17,19,13,20,triangle,4,1
40,41,2,25,17,12,13,28,triangle,4,2
41,42,1,21,21,12,10,20,hourglass,1,1
42,43,1,25,22,10,18,21,rectangle,7,3
43,44,1,22,22,11,14,23,rectangle,7,1
44,45,2,21,20,11,14,19,rectangle,7,2
45,46,2,19,21,13,14,18,rectangle,7,2
46,47,2,17,20,13,13,19,rectangle,7,1
47,48,1,18,16,14,15,18,rectangle,7,3
48,49,1,25,14,19,16,19,round,5,1
49,50,2,30,15,18,17,20,round,5,3
50,51,2,29,10,16,20,19,round,5,3
51,52,2,28,16,18,21,30,round,5,3
52,53,1,30,18,12,10,20,hourglass,1,1
53,54,1,25,16,19,23,18,rectangle,7,3
54,55,1,30,20,12,10,22,hourglass,1,2
55,56,2,18,18,16,20,17,rectangle,7,3
56,57,2,19,20,19,15,17,rectangle,7,3
57,58,1,28,18,19,11,18,rectangle,7,1
58,59,2,17,14,13,15,16,rectangle,7,3
59,60,1,6,8,8,10,10,rectangle,7,2
60,61,1,8,13,9,15,15,rectangle,7,3
61,62,1,24,11,8,20,9,rectangle,7,2
62,63,2,54,13,11,23,16,rectangle,7,2
63,64,1,16,17,13,19,16,rectangle,7,3
64,65,2,24,19,12,10,20,hourglass,1,2
65,66,1,15,7,8,13,15,round,5,1
66,67,1,4,15,12,15,15,rectangle,7,1
67,68,1,21,16,8,9,11,invertedtriangle,6,2
68,69,1,38,21,14,13,16,invertedtriangle,6,3
69,70,1,49,14,11,14,14,rectangle,7,2
70,71,2,22,21,19,21,23,rectangle,7,3
71,72,1,3,7,6,7,10,rectangle,7,2
72,73,1,12,15,13,20,16,rectangle,7,1
73,74,2,18,18,15,17,20,rectangle,7,1
74,75,1,37,17,22,17,22,round,5,3
75,76,1,21,17,15,19,16,rectangle,7,3
76,77,1,16,13,10,13,13,rectangle,7,3
77,78,1,19,11,9,20,14,rectangle,7,1
78,79,2,32,8,8,7,8,rectangle,7,2
79,80,2,3,10,10,22,10,rectangle,7,3
80,81,1,42,13,9,10,16,rectangle,7,1
81,82,1,2,11,8,7,15,round,5,1
82,83,1,50,7,8,10,23,round,5,2
83,84,1,37,12,16,18,14,rectangle,7,1
84,85,1,20,18,21,21,24,round,5,1
85,86,2,7,15,12,13,16,rectangle,7,3
86,87,1,17,15,13,15,17,rectangle,7,3
87,88,1,24,12,11,22,13,rectangle,7,3
88,89,1,3,7,7,8,9,rectangle,7,2
89,90,1,34,10,9,21,10,rectangle,7,3
90,91,2,24,12,10,11,14,rectangle,7,1
91,92,1,21,9,9,10,11,rectangle,7,2
92,93,1,6,12,11,13,11,rectangle,7,3
93,94,1,31,12,10,13,19,round,5,3
94,95,1,4,12,10,14,14,rectangle,7,1
95,96,1,7,14,12,23,16,rectangle,7,2
96,97,1,54,14,13,14,15,rectangle,7,3
97,98,1,19,8,9,14,16,round,5,2
98,99,2,15,14,11,14,14,rectangle,7,1
99,100,1,24,12,13,22,12,rectangle,7,1
100,101,1,32,18,9,16,8,invertedtriangle,6,3
101,102,1,16,12,8,7,10,rectangle,7,1
102,103,2,2,13,12,16,17,round,5,1
103,104,1,28,20,18,20,23,rectangle,7,3
104,105,1,22,10,8,10,12,rectangle,7,1
105,106,1,8,16,15,14,16,rectangle,7,1
106,107,1,36,11,10,14,14,rectangle,7,2
107,108,2,21,21,14,20,17,invertedtriangle,6,2
108,109,1,32,18,14,20,17,rectangle,7,1
109,110,1,16,18,14,18,19,rectangle,7,3
110,111,1,17,17,13,16,18,rectangle,7,2
111,112,1,18,14,13,17,16,rectangle,7,1
112,113,1,24,22,13,22,19,rectangle,7,2
113,114,1,32,23,18,23,20,rectangle,7,1
114,115,1,42,21,20,22,24,rectangle,7,3
115,116,1,4,14,13,14,15,rectangle,7,2
116,117,2,19,15,213,14,17,rectangle,7,3
117,118,1,20,16,12,15,16,rectangle,7,1
118,119,1,21,20,23,14,19,rectangle,7,3
119,120,1,17,21,15,13,11,invertedtriangle,6,3
120,121,1,16,10,17,10,13,rectangle,7,1
121,122,2,24,9,10,17,20,round,5,3
122,123,2,18,8,11,14,19,round,5,2
123,124,1,37,13,18,18,18,round,5,2
124,125,2,50,18,12,50,14,invertedtriangle,6,3
125,126,2,42,12,9,49,17,round,5,1
126,127,1,40,11,18,36,17,round,5,1
127,128,1,35,16,10,26,16,rectangle,7,2
128,129,1,29,17,23,19,13,invertedtriangle,6,1
129,130,1,55,15,24,60,14,rectangle,7,2
130,131,2,25,11,14,10,19,triangle,4,1
131,132,2,33,12,13,20,13,rectangle,7,3
132,133,1,39,14,14,21,19,round,5,2
133,134,1,17,10,9,18,20,round,5,2
134,135,1,22,11,16,19,21,round,5,1
135,136,1,25,14,12,20,22,round,5,1
136,137,1,32,19,14,21,21,rectangle,7,3
137,138,2,39,11,18,21,19,round,5,2
138,139,1,49,16,20,10,14,rectangle,7,2
139,140,2,26,13,11,17,17,round,5,2
140,141,2,44,10,19,31,16,round,5,2
141,142,1,25,7,10,29,14,round,5,1
142,143,1,15,9,9,12,15,round,5,1
143,144,2,50,10,20,52,36,round,5,3
144,145,2,42,11,19,40,44,round,5,1
145,146,1,20,17,15,14,15,rectangle,7,3
146,147,1,31,20,15,21,22,rectangle,7,2
147,148,1,19,16,9,9,14,rectangle,7,1
148,149,2,24,21,10,10,30,bottomhourglass,2,2
149,150,2,27,17,12,11,18,rectangle,7,3
150,151,2,29,19,14,12,19,rectangle,7,1
151,152,2,30,18,16,16,20,rectangle,7,2
152,153,1,31,18,18,23,18,rectangle,7,1
